,C-TS,C-TS-REV,Type,SUP,Fishing related
Plastic,A,A,Plastic,,
Plastic bottle,A1,A1,Plastic,Yes,
Plastic sheet,A2,A2,Plastic,Yes,
Plastic bag,A3,A3,Plastic,Yes,
Plastic caps,A4,A4,Plastic,Yes,
Plastic fishing line (monofilament),A5,A5,Plastic,,Yes
Plastic fishing line (entangled),A6,A6,Plastic,,Yes
Synthetic rope,A7,A7,Plastic,,Yes
Fishing net,A8,A8,Plastic,,Yes
Plastic cable ties,A9,A9,Plastic,,
Plastic strapping band,A10,A10,Plastic,,
Plastic crates and containers,A11,A11,Plastic,Yes,
Plastic diapers,B1,A12,Plastic,Yes,
Sanitary towel/tampon,B6,A13,Plastic,Yes,
Other plastic,A12,A14,Plastic,,
Sanitary waste (unspecified),B,,Plastic,Yes,
Cotton buds,B2,,Plastic,Yes,
Cigarette butts,B3,,Plastic,Yes,
Condoms,B4,,Plastic,Yes,
Syringes,B5,,Plastic,Yes,
Other sanitary waste,B7,,Plastic,Yes,
Metals,C,B,Metal,,
Cans (food),C1,B1,Metal,,
Cans (beverage),C2,B2,Metal,,
Fishing related metal,C3,B3,Metal,,
Metal drums,C4,B4,Metal,,
Metal appliances,C5,B5,Metal,,
Metal car parts,C6,B6,Metal,,
Metal cables,C7,B7,Metal,,
Other metal,C8,B8,Metal,,
Rubber,D,C,Rubber,,
Boots,D1,C1,Rubber,,
Balloons,D2,C2,Rubber,Yes,
Rubber bobbins (fishing),D3,C3,Rubber,,Yes
Tyre,D4,C4,Rubber,,
Glove,D5,C5,Rubber,,
Other rubber,D6,C6,Rubber,,
Glass/Ceramics,E,D,Glass,,
Jar,E1,D1,Glass,,
Glass bottle,E2,D2,Glass,,
Glass/ceramic piece,E3,D3,Glass,,
Other glass or ceramic,E4,D4,Glass,,
Natural products,F,E,Natural,,
Wood (processed),F1,E1,Natural,,
Rope,F2,E2,Natural,,Yes
Paper/cardboard,F3,E3,Natural,,
Pallets,F4,E4,Natural,,
Other natural products,F5,E5,Natural,,
Miscellaneous,G,F,Other,,
Clothing/rags,G1,F1,Other,,
Shoes,G2,F2,Other,,
Other,G3,F3,Other,,
